qid,name,category,country,iso,lat,lon,year,century,wikipedia,image,sitelinks,pageviews,fame_rank
Q2946,Palace of Versailles,palace,France,FR,48.80472,2.12028,1661,17th century,https://en.wikipedia.org/wiki/Palace_of_Versailles,https://commons.wikimedia.org/wiki/Special:FilePath/Vue%20a%C3%A9rienne%20du%20domaine%20de%20Versailles%20par%20ToucanWings%20-%20Creative%20Commons%20By%20Sa%203.0%20-%20083.jpg?width=1280,108,756430,1
Q80290,Forbidden City,palace,People's Republic of China,CN,39.91583,116.39083,1420,15th century,https://en.wikipedia.org/wiki/Forbidden_City,https://commons.wikimedia.org/wiki/Special:FilePath/Hall%20of%20Supreme%20Harmony%20%2820241127120000%29.jpg?width=1280,104,666289,2
Q1143049,Château de Montsoreau,castle,France,FR,47.2156,0.0622,990,10th century,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Montsoreau,https://commons.wikimedia.org/wiki/Special:FilePath/Chateau%20de%20Montsoreau%20Museum%20of%20contemporary%20art%20Loire%20Valley%20France.jpg?width=1280,100,11059,375
Q133274,Kremlin,palace,Russia,RU,55.75167,37.61778,1420,15th century,https://en.wikipedia.org/wiki/Kremlin,https://commons.wikimedia.org/wiki/Special:FilePath/Moscow%2005-2012%20Kremlin%2022.jpg?width=1280,95,375196,8
Q47476,Alhambra,palace,Spain,ES,37.17634,-3.58821,1239,13th century,https://en.wikipedia.org/wiki/Alhambra,https://commons.wikimedia.org/wiki/Special:FilePath/Alhambra%20detail.jpg?width=1280,95,576475,5
Q42182,Buckingham Palace,palace,England,GB-ENG,51.501,-0.142,1703,18th century,https://en.wikipedia.org/wiki/Buckingham_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Buckingham%20Palace%2C%20London%20-%20April%202009.jpg?width=1280,93,732313,4
Q4152,Neuschwanstein Castle,castle,Germany,DE,47.55749,10.74944,1869,19th century,https://en.wikipedia.org/wiki/Neuschwanstein_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Schloss%20Neuschwanstein%202013.jpg?width=1280,91,876367,3
Q62378,Tower of London,castle,England,GB-ENG,51.5082,-0.0762,1066,11th century,https://en.wikipedia.org/wiki/Tower_of_London,https://commons.wikimedia.org/wiki/Special:FilePath/Tower%20of%20London%20viewed%20from%20the%20River%20Thames.jpg?width=1280,88,665273,6
Q1865480,Bastille,castle,France,FR,48.85333,2.36917,1370,14th century,https://en.wikipedia.org/wiki/Bastille,https://commons.wikimedia.org/wiki/Special:FilePath/Bastille%20Exterior%201790%20or%201791.jpg?width=1280,86,206632,16
Q42646,Windsor Castle,castle,England,GB-ENG,51.48389,-0.60444,1070,11th century,https://en.wikipedia.org/wiki/Windsor_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Windsor%20Castle%20at%20Sunset%20-%20Nov%202006.jpg?width=1280,85,675390,7
Q179046,Fatehpur Sikri,fortress,India,IN,27.09111,77.66111,,,https://en.wikipedia.org/wiki/Fatehpur_Sikri,https://commons.wikimedia.org/wiki/Special:FilePath/Fatehpur%20Sikri-%20Hamamm.jpg?width=1280,82,168372,24
Q71229,Potala Palace,palace,Tibet,CN,29.65778,91.11694,637,7th century,https://en.wikipedia.org/wiki/Potala_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Potala.jpg?width=1280,82,219275,14
Q28471,Royal Monastery of San Lorenzo de El Escorial,palace,Spain,ES,40.58917,-4.14778,1563,16th century,https://en.wikipedia.org/wiki/El_Escorial,https://commons.wikimedia.org/wiki/Special:FilePath/Monasterio%20de%20El%20Escorial%20en%20Madrid.jpg?width=1280,81,174712,22
Q170495,Topkapı Palace,palace,Turkey,TR,41.013,28.984,1460,15th century,https://en.wikipedia.org/wiki/Topkap%C4%B1_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Topkapi%20Palace%20Seen%20From%20Harem.JPG?width=1280,78,258501,10
Q171857,Agra Fort,fortress,India,IN,27.17958,78.0213,1565,16th century,https://en.wikipedia.org/wiki/Agra_Fort,https://commons.wikimedia.org/wiki/Special:FilePath/Agra%2003-2016%2016%20Agra%20Fort.jpg?width=1280,77,169474,23
Q177549,Krak des Chevaliers,castle,Syria,SY,34.75694,36.29472,1031,11th century,https://en.wikipedia.org/wiki/Krak_des_Chevaliers,https://commons.wikimedia.org/wiki/Special:FilePath/Krak%20des%20Chevaliers%2001.jpg?width=1280,76,133601,35
Q45957,Red Fort,fortress,India,IN,28.65583,77.24028,,,https://en.wikipedia.org/wiki/Red_Fort,https://commons.wikimedia.org/wiki/Special:FilePath/Red%20Fort%2C%20Delhi%20by%20alexfurr.jpg?width=1280,75,388558,9
Q182147,Winter Palace,palace,Russia,RU,59.94028,30.31389,1754,18th century,https://en.wikipedia.org/wiki/Winter_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Winter%20Palace%20Panorama%203.jpg?width=1280,75,267162,13
Q188754,Himeji Castle,castle,Japan,JP,34.83944,134.69361,1346,14th century,https://en.wikipedia.org/wiki/Himeji_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Himeji%20castle%20in%20may%202015.jpg?width=1280,73,275178,11
Q186312,Masada,fortress,Israel,IL,31.31556,35.35389,,,https://en.wikipedia.org/wiki/Masada,https://commons.wikimedia.org/wiki/Special:FilePath/Israel-2013-Aerial%2021-Masada.jpg?width=1280,70,219200,18
Q188190,Élysée Palace,palace,France,FR,48.87028,2.31639,1722,18th century,https://en.wikipedia.org/wiki/%C3%89lys%C3%A9e_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Secretary%20Pompeo%20Arrives%20to%20Meet%20with%20French%20Foreign%20Minister%20Le%20Drian%20in%20Paris%20%2850610423656%29%20%28cropped%29.jpg?width=1280,66,179253,25
Q131330,Schönbrunn Palace,palace,Austria,AT,48.18479,16.31227,1638,17th century,https://en.wikipedia.org/wiki/Sch%C3%B6nbrunn_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Schloss%20Sch%C3%B6nbrunn%20Wien%202014%20%28Zuschnitt%202%29.jpg?width=1280,64,241319,15
Q193369,Prague Castle,castle,Czech Republic,CZ,50.09,14.4,900,9th century,https://en.wikipedia.org/wiki/Prague_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Castillo%20de%20Praga%2C%20Praga%2C%20Rep%C3%BAblica%20Checa%2C%202022-07-02%2C%20DD%20209.jpg?width=1280,63,225977,19
Q42049,Balmoral Castle,castle,Scotland,GB-SCT,57.0407,-3.23016,1390,14th century,https://en.wikipedia.org/wiki/Balmoral_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Balmoral%20Castle.jpg?width=1280,62,403211,12
Q4132,Summer Palace,palace,China,CN,39.9975,116.2689,,,https://en.wikipedia.org/wiki/Summer_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Longevity%20Hill%20of%20the%20Summer%20Palace.jpg?width=1280,61,138783,37
Q211818,Belvedere,palace,Austria,AT,48.1934,16.38052,1714,18th century,"https://en.wikipedia.org/wiki/Belvedere,_Vienna",https://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Schloss%20Belvedere%2C%20oberes%20%282%29.JPG?width=1280,60,114787,45
Q546010,Ani,ruin,Turkey,TR,40.5075,43.57278,,,https://en.wikipedia.org/wiki/Ani,https://commons.wikimedia.org/wiki/Special:FilePath/Ani%20Archeological%20Site%2C%20March%202020%201.jpg?width=1280,59,163070,36
Q145093,Apostolic Palace,palace,Vatican City,VA,41.90361,12.45639,1589,16th century,https://en.wikipedia.org/wiki/Apostolic_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/2018-03-18%20Apostolischer%20Palast.jpg?width=1280,59,205019,27
Q189883,Doge's Palace,palace,Italy,IT,45.43367,12.34042,1340,14th century,https://en.wikipedia.org/wiki/Doge%27s_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/%28Venice%29%20Doge%27s%20Palace%20facing%20the%20sea.jpg?width=1280,59,117193,46
Q208559,Drottningholm Palace,palace,Sweden,SE,59.32169,17.88638,1699,17th century,https://en.wikipedia.org/wiki/Drottningholm_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Drottningholm%20Palace%20%28by%20Pudelek%29%203.jpg?width=1280,59,55108,91
Q210610,Golestan Palace,palace,Iran,IR,35.67972,51.42028,,,https://en.wikipedia.org/wiki/Golestan_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Milad-poorali.jpg?width=1280,59,166709,34
Q234364,Tuileries Palace,palace,France,FR,48.86222,2.33111,1564,16th century,https://en.wikipedia.org/wiki/Tuileries_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Tuileries%20jardin%201867.jpg?width=1280,59,184388,28
Q836531,Hawa Mahal,palace,India,IN,26.924,75.82672,1799,18th century,https://en.wikipedia.org/wiki/Hawa_Mahal,https://commons.wikimedia.org/wiki/Special:FilePath/East%20facade%20Hawa%20Mahal%20Jaipur%20from%20ground%20level%20%28July%202022%29%20-%20img%2001.jpg?width=1280,59,216762,26
Q486382,Castel Sant'Angelo,castle,Italy,IT,41.90304,12.46631,139,2nd century,https://en.wikipedia.org/wiki/Castel_Sant%27Angelo,https://commons.wikimedia.org/wiki/Special:FilePath/Castel%20Sant%27Angelo%20at%20Night.jpg?width=1280,58,268941,17
Q151545,Wartburg,castle,Germany,DE,50.96611,10.30639,1067,11th century,https://en.wikipedia.org/wiki/Wartburg,https://commons.wikimedia.org/wiki/Special:FilePath/Thuringia%20Eisenach%20asv2020-07%20img23%20Wartburg%20Castle.jpg?width=1280,57,48561,104
Q212065,Edinburgh Castle,castle,Scotland,GB-SCT,55.9487,-3.20073,1200,12th century,https://en.wikipedia.org/wiki/Edinburgh_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20Castle%20from%20the%20Grassmarket.jpg?width=1280,57,266047,20
Q215003,Belém Tower,fortress,Portugal,PT,38.69139,-9.21583,1515,16th century,https://en.wikipedia.org/wiki/Bel%C3%A9m_Tower,https://commons.wikimedia.org/wiki/Special:FilePath/Belem%20Tower%20-%20April%202019%20%282%29.jpg?width=1280,57,154139,40
Q71279,Malbork Castle,castle,Poland,PL,54.03972,19.02778,1270,13th century,https://en.wikipedia.org/wiki/Malbork_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Panorama%20of%20Malbork%20Castle%2C%20part%204.jpg?width=1280,56,207941,29
Q150039,Neuf-Brisach,fortress,France,FR,48.01806,7.52833,,,https://en.wikipedia.org/wiki/Neuf-Brisach,https://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20image%20of%20Neuf-Brisach%20%28view%20from%20the%20southwest%29.jpg?width=1280,56,39542,130
Q201428,Palace of Fontainebleau,palace,France,FR,48.40222,2.70056,,,https://en.wikipedia.org/wiki/Palace_of_Fontainebleau,https://commons.wikimedia.org/wiki/Special:FilePath/Le%20Grand%20Escalier%20%C3%A0%20Fer%20de%20Cheval.jpg?width=1280,56,114167,50
Q189358,Kronborg Castle,castle,Denmark,DK,56.03861,12.62194,,,https://en.wikipedia.org/wiki/Kronborg,https://commons.wikimedia.org/wiki/Special:FilePath/KronborgCastle%20HCS.jpg?width=1280,55,82588,67
Q205367,Château de Chambord,palace,France,FR,47.61611,1.51722,1519,16th century,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Chambord,https://commons.wikimedia.org/wiki/Special:FilePath/France%20Loir-et-Cher%20Chambord%20Chateau%2003.jpg?width=1280,55,147427,41
Q2854543,Catherine Palace,palace,Russia,RU,59.716,30.39556,1717,18th century,https://en.wikipedia.org/wiki/Catherine_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Catherine%20Palace%20in%20Tsarskoe%20Selo%2002.jpg?width=1280,55,67917,75
Q46242,Hofburg Palace,castle,Austria,AT,48.20639,16.36528,1279,13th century,https://en.wikipedia.org/wiki/Hofburg,https://commons.wikimedia.org/wiki/Special:FilePath/Wien%20-%20Neue%20Hofburg.JPG?width=1280,54,167311,39
Q207385,Kensington Palace,palace,England,GB-ENG,51.50528,-0.18833,1605,17th century,https://en.wikipedia.org/wiki/Kensington_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Kensington%20Palace.jpg?width=1280,54,320557,21
Q327983,Palace of Caserta,palace,Italy,IT,41.07317,14.32711,1752,18th century,https://en.wikipedia.org/wiki/Royal_Palace_of_Caserta,https://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20image%20of%20the%20Palace%20of%20Caserta%20%28view%20from%20the%20south%29.jpg?width=1280,54,119594,48
Q6812419,Melilla la Vieja,fortress,Spain,ES,35.294,-2.934,,,https://en.wikipedia.org/wiki/Melilla_la_Vieja,https://commons.wikimedia.org/wiki/Special:FilePath/Frente%20de%20La%20Marina.jpg?width=1280,53,2090,933
Q1292442,Suomenlinna,fortress,Finland,FI,60.14361,24.98444,1748,18th century,https://en.wikipedia.org/wiki/Suomenlinna,https://commons.wikimedia.org/wiki/Special:FilePath/Suomenlinna.jpg?width=1280,53,62313,87
Q151330,Sanssouci Palace,palace,Germany,DE,52.40326,13.03863,1745,18th century,https://en.wikipedia.org/wiki/Sanssouci,https://commons.wikimedia.org/wiki/Special:FilePath/.00%202522%20Schloss%20Sanssouci%20in%20Potsdam.jpg?width=1280,53,120371,51
Q205666,Hampton Court Palace,palace,England,GB-ENG,51.4034,-0.3375,1515,16th century,https://en.wikipedia.org/wiki/Hampton_Court_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Hampton%20Court%20Palace%20%283%29.jpg?width=1280,53,229919,30
Q274141,Dolmabahçe Palace,palace,Turkey,TR,41.03944,29.00167,1823,19th century,https://en.wikipedia.org/wiki/Dolmabah%C3%A7e_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Palacio%20de%20Dolmabah%C3%A7e%2C%20Estambul%2C%20Turqu%C3%ADa%2C%202024-09-29%2C%20DD%2024.jpg?width=1280,53,159780,44
Q329852,Luxembourg Palace,palace,France,FR,48.84833,2.3375,1620,17th century,https://en.wikipedia.org/wiki/Luxembourg_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/2017%20-%20Le%20palais%20du%20Luxembourg%2C%20dans%20le%20jardin%20du%20Luxembourg%2C%20Paris%20-%203.jpg?width=1280,53,70733,76
Q223079,Quirinal Palace,palace,Italy,IT,41.9,12.4875,1574,16th century,https://en.wikipedia.org/wiki/Quirinal_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Quirinale%20palazzo%20e%20obelisco%20con%20dioscuri%20Roma.jpg?width=1280,53,109746,57
Q131631,Nymphenburg Palace,palace,Germany,DE,48.15806,11.50361,1664,17th century,https://en.wikipedia.org/wiki/Nymphenburg_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Schloss%20Nymphenburg%2C%20Weitwinkelansicht.jpg?width=1280,52,92496,64
Q322287,Diocletian's Palace,palace,Croatia,HR,43.50806,16.43833,293,3rd century,https://en.wikipedia.org/wiki/Diocletian%27s_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Diocletian%27s%20Palace%20%28original%20appearance%29.jpg?width=1280,52,175894,38
Q500367,Qal'at Bani Hammad,castle,Algeria,DZ,35.81389,4.79333,1007,11th century,https://en.wikipedia.org/wiki/Qal%27at_Bani_Hammad,https://commons.wikimedia.org/wiki/Special:FilePath/28-2%20Kal%C3%A2a%20de%20Beni%20Hammad%20%283%29.jpg?width=1280,51,8288,499
Q272162,St James's Palace,palace,England,GB-ENG,51.50472,-0.13778,1536,16th century,https://en.wikipedia.org/wiki/St_James%27s_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/St%20James%27s%20Palace%2C%20London%20-%20geograph.org.uk%20-%207963883.jpg?width=1280,51,255173,31
Q329948,Palais-Royal,palace,France,FR,48.86333,2.33694,1628,17th century,https://en.wikipedia.org/wiki/Palais-Royal,https://commons.wikimedia.org/wiki/Special:FilePath/Conseil%20d%27Etat%20Paris%20WA.jpg?width=1280,51,77957,72
Q321242,Osaka Castle,castle,Japan,JP,34.68722,135.52583,1583,16th century,https://en.wikipedia.org/wiki/Osaka_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Osaka%20Castle%2002bs3200.jpg?width=1280,51,231093,33
Q266698,Karlštejn Castle,castle,Czech Republic,CZ,49.93955,14.18793,1348,14th century,https://en.wikipedia.org/wiki/Karl%C5%A1tejn,https://commons.wikimedia.org/wiki/Special:FilePath/Burg%20Karlstein%20-%20Karl%C5%A1tejn%20-%20panoramio.jpg?width=1280,50,38437,145
Q390275,Bran Castle,castle,Romania,RO,45.515,25.3671,1289,13th century,https://en.wikipedia.org/wiki/Bran_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Bran%20Castle%20TB1.jpg?width=1280,50,255562,32
Q115253,Takht-e Soleyman,castle,Iran,IR,36.60472,47.23417,,,https://en.wikipedia.org/wiki/Takht-e_Soleym%C4%81n,https://commons.wikimedia.org/wiki/Special:FilePath/Takhte%20Soleyman%20%285%29.jpg?width=1280,49,22385,240
Q209643,Mir Castle Complex,castle,Belarus,BY,53.45127,26.47289,,,https://en.wikipedia.org/wiki/Mir_Castle_Complex,https://commons.wikimedia.org/wiki/Special:FilePath/Mir%20Castle%202018.jpg?width=1280,49,13134,355
Q215315,Kernavė,castle,Lithuania,LT,54.88333,24.85,,,https://en.wikipedia.org/wiki/Kernav%C4%97,https://commons.wikimedia.org/wiki/Special:FilePath/Kernav%C4%97%20-%20Hill%20forts%2001.jpg?width=1280,49,18354,267
Q154996,Charlottenburg Palace,palace,Germany,DE,52.52111,13.29583,1791,18th century,https://en.wikipedia.org/wiki/Schloss_Charlottenburg,https://commons.wikimedia.org/wiki/Special:FilePath/Schloss%20Charlottenburg%202025.jpg?width=1280,49,39955,143
Q477157,Changdeokgung,palace,South Korea,KR,37.57944,126.99167,,,https://en.wikipedia.org/wiki/Changdeokgung,https://commons.wikimedia.org/wiki/Special:FilePath/%EC%B0%BD%EB%8D%95%EA%B6%81%20%EC%A0%84%EA%B2%BD%20%282012%29.jpg?width=1280,49,72509,77
Q338889,Palace of the Shirvanshahs,palace,Azerbaijan,AZ,40.36611,49.83333,1500,15th century,https://en.wikipedia.org/wiki/Palace_of_the_Shirvanshahs,https://commons.wikimedia.org/wiki/Special:FilePath/Azerbaigian-baku3.jpg?width=1280,49,32526,171
Q464695,Fasil Ghebbi,fortress,Ethiopia,ET,12.60806,37.46972,,,https://en.wikipedia.org/wiki/Fasil_Ghebbi,https://commons.wikimedia.org/wiki/Special:FilePath/ET%20Gondar%20asv2018-02%20img02%20Fasil%20Ghebbi.jpg?width=1280,48,26314,203
Q271928,Palazzo Vecchio,palace,Italy,IT,43.76944,11.25611,1299,13th century,https://en.wikipedia.org/wiki/Palazzo_Vecchio,https://commons.wikimedia.org/wiki/Special:FilePath/Piazza%20della%20signoria%2C%20palazzo%20vecchio%2C%20veduta%2001.jpg?width=1280,48,142211,53
Q873769,Grand Palace,palace,Thailand,TH,13.75014,100.49203,1782,18th century,https://en.wikipedia.org/wiki/Grand_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Grand%20Palace%20Bangkok%2C%20Thailand.jpg?width=1280,48,117483,58
Q593311,Bratislava Castle,castle,Slovakia,SK,48.14222,17.1,1431,15th century,https://en.wikipedia.org/wiki/Bratislava_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Bratislava%20-%20Burg%20%28a%29.JPG?width=1280,47,42211,141
Q205558,Spiš Castle,ruin,Slovakia,SK,49.00056,20.76833,1200,12th century,https://en.wikipedia.org/wiki/Spi%C5%A1_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/SK%20SN%20Spis%20castle%202024%201.jpg?width=1280,47,48701,124
Q372647,Chillon Castle,castle,Switzerland,CH,46.41417,6.9275,1160,12th century,https://en.wikipedia.org/wiki/Chillon_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/001%20Chateau%20de%20Chillon%20and%20Dents%20du%20Midi%20Photo%20by%20Giles%20Laurent.jpg?width=1280,47,49552,119
Q46313,Buda Castle,castle,Hungary,HU,47.49611,19.03972,,,https://en.wikipedia.org/wiki/Buda_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/20190502%20Zamek%20w%20Budapeszcie%200647%201862%20DxO.jpg?width=1280,47,111189,63
Q523489,Terezín,fortress,Czech Republic,CZ,50.51108,14.15064,,,https://en.wikipedia.org/wiki/Terez%C3%ADn,https://commons.wikimedia.org/wiki/Special:FilePath/Terez%C3%ADn%20-%20n%C3%A1m%C4%9Bst%C3%AD%20%C4%8CSA%2C%20pohled%20od%20SZ%2C%20obr01.jpg?width=1280,47,56355,109
Q603622,Qazan Kremlin,fortress,Russia,RU,55.79744,49.10724,,,https://en.wikipedia.org/wiki/Kazan_Kremlin,https://commons.wikimedia.org/wiki/Special:FilePath/%D0%9A%D0%B0%D0%B7%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BA%D1%80%D0%B5%D0%BC%D0%BB%D1%8C.%20%D0%9F%D0%B0%D0%BD%D0%BE%D1%80%D0%B0%D0%BC%D0%B0%20%D1%81%20%D0%BA%D0%BE%D0%BB%D0%B5%D1%81%D0%B0%20%D0%BE%D0%B1%D0%BE%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D1%8F.jpg?width=1280,47,25924,212
Q379080,Fort Jesus Museum,fortress,Kenya,KE,-4.07117,39.68206,1593,16th century,https://en.wikipedia.org/wiki/Fort_Jesus,https://commons.wikimedia.org/wiki/Special:FilePath/Fort%20JesusMombasa.jpg?width=1280,47,29654,193
Q525811,Generalife,palace,Spain,ES,37.17694,-3.58528,,,https://en.wikipedia.org/wiki/Generalife,https://commons.wikimedia.org/wiki/Special:FilePath/Generalife%20Palace%2C%20Alhambra%2C%20Granada%2C%20Spain.jpg?width=1280,47,32886,172
Q156457,Hohenzollern Castle,castle,Germany,DE,48.32356,8.9674,,,https://en.wikipedia.org/wiki/Hohenzollern_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Burg%20Hohenzollern%20ak.jpg?width=1280,46,238309,42
Q498261,Reales Alcázares,palace,Spain,ES,37.38443,-5.99119,,,https://en.wikipedia.org/wiki/Alc%C3%A1zar_of_Seville,https://commons.wikimedia.org/wiki/Special:FilePath/Patio%20de%20las%20doncellas.jpg?width=1280,46,158728,55
Q719422,Nesvizh Castle,castle,Belarus,BY,53.22288,26.69174,1583,16th century,https://en.wikipedia.org/wiki/Nesvizh_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/%D0%97%D0%B0%D0%BC%D0%B0%D0%BA-%D0%BF%D0%B0%D0%BB%D0%B0%D1%86%20%D1%83%20%D0%9D%D1%8F%D1%81%D1%8C%D0%B2%D1%96%D0%B6%D1%8B%20%D0%B7%D0%BD%D1%83%D1%82%D1%80%D1%8B.jpg?width=1280,46,17529,284
Q752266,Durham Castle,castle,England,GB-ENG,54.7749,-1.57558,1072,11th century,https://en.wikipedia.org/wiki/Durham_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Durham%20Castle%2C%20April%202017%20%2814%29%20%2833459522640%29.jpg?width=1280,46,27094,206
Q155188,Rohtas Fort,fortress,Pakistan,PK,32.96528,73.57642,,,https://en.wikipedia.org/wiki/Rohtas_Fort,https://commons.wikimedia.org/wiki/Special:FilePath/Rohtas%20Fort%20%28Jhelum%2C%20Pakistan%29%20-%20World%20Heritage%20Site.jpeg?width=1280,46,29001,197
Q613720,Lahore Fort,fortress,Pakistan,PK,31.59028,74.30972,,,https://en.wikipedia.org/wiki/Lahore_Fort,https://commons.wikimedia.org/wiki/Special:FilePath/Lahore%20Fort%20view%20from%20Baradari.jpg?width=1280,46,72570,85
Q156316,Würzburg Residence,palace,Germany,DE,49.7928,9.93889,1719,18th century,https://en.wikipedia.org/wiki/W%C3%BCrzburg_Residence,https://commons.wikimedia.org/wiki/Special:FilePath/Residenz%20W%C3%BCrzburg%2C%20S%C3%BCdfront%2C%201.jpg?width=1280,46,39471,155
Q193215,Château de Chenonceau,palace,France,FR,47.325,1.0706,1411,15th century,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Chenonceau,https://commons.wikimedia.org/wiki/Special:FilePath/Chenonceau-20050320.jpg?width=1280,46,118024,65
Q499517,Qasr Amra,palace,Jordan,JO,31.80175,36.58731,,,https://en.wikipedia.org/wiki/Qusayr_%27Amra,https://commons.wikimedia.org/wiki/Special:FilePath/Qasr%20Amra.jpg?width=1280,46,16391,298
Q732489,Mariinskyi Palace,palace,Ukraine,UA,50.44833,30.5375,1752,18th century,https://en.wikipedia.org/wiki/Mariinskyi_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/%D0%9C%D0%B0%D1%80%D1%96%D1%97%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9%20%D0%BF%D0%B0%D0%BB%D0%B0%D1%86%20%D0%B2%20%D0%9A%D0%B8%D1%94%D0%B2%D1%96%20%28cropped%29.jpg?width=1280,46,56786,113
Q4706020,Alamut Castle,castle,Iran,IR,36.44472,50.58611,,,https://en.wikipedia.org/wiki/Alamut_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/2008iran.%20Iran%2C%20Alamut%20Castle%20%282573255326%29.jpg?width=1280,45,127650,62
Q23868,Brest Fortress,fortress,Belarus,BY,52.08333,23.65278,1836,19th century,https://en.wikipedia.org/wiki/Brest_Fortress,https://commons.wikimedia.org/wiki/Special:FilePath/BrestFortress7.JPG?width=1280,45,33510,178
Q170119,Berlin Palace,palace,Germany,DE,52.5175,13.40278,1451,15th century,https://en.wikipedia.org/wiki/Berlin_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Berlin-Mitte-Ehemaliges%20Berliner%20Schloss-ZI-0136-06-Th176311.jpg?width=1280,45,118103,66
Q143463,Palais des Papes,palace,France,FR,43.9508,4.8075,,,https://en.wikipedia.org/wiki/Palais_des_Papes,https://commons.wikimedia.org/wiki/Special:FilePath/00%200711%20Avignon%20%28Frankreich%29%20-%20Kathetrale%20und%20Papstpalast.jpg?width=1280,45,81471,78
Q171517,Royal Palace of Madrid,palace,Spain,ES,40.41796,-3.71431,1735,18th century,https://en.wikipedia.org/wiki/Royal_Palace_of_Madrid,https://commons.wikimedia.org/wiki/Special:FilePath/Palacio%20Real%20de%20Madrid%20Julio%202016%20%28cropped%29.jpg?width=1280,45,168362,54
Q500681,Tokyo Imperial Palace,palace,Japan,JP,35.6825,139.7521,1868,19th century,https://en.wikipedia.org/wiki/Tokyo_Imperial_Palace,https://commons.wikimedia.org/wiki/Special:FilePath/Tatsumi-yagura%2C%20Tokyo%20Imperial%20Palace%20%2852158185625%29.jpg?width=1280,45,260433,43
Q391620,Palace of Whitehall,palace,England,GB-ENG,51.50444,-0.12556,1530,16th century,https://en.wikipedia.org/wiki/Palace_of_Whitehall,https://commons.wikimedia.org/wiki/Special:FilePath/The%20Old%20Palace%20of%20Whitehall%20by%20Hendrik%20Danckerts.jpg?width=1280,45,213618,47
Q23354,Sforza Castle,castle,Italy,IT,45.47101,9.17969,1360,14th century,https://en.wikipedia.org/wiki/Sforza_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/20110725%20Castello%20Sforzesco%20Milan%205557.jpg?width=1280,44,99875,73
Q155693,Lichtenstein Castle,castle,Germany,DE,48.40664,9.25825,1840,19th century,https://en.wikipedia.org/wiki/Lichtenstein_Castle_(W%C3%BCrttemberg),https://commons.wikimedia.org/wiki/Special:FilePath/Schloss%20Lichtenstein%2004-2010.jpg?width=1280,44,35161,170
Q211053,Amalienborg,palace,Denmark,DK,55.68403,12.59333,1760,18th century,https://en.wikipedia.org/wiki/Amalienborg,https://commons.wikimedia.org/wiki/Special:FilePath/Amalienborg%20panorama%20juli%202013.jpg?width=1280,44,53065,120
